brand,length,width,height,power,price
audi,176.6,66.2,54.3,102,13950
audi,176.6,66.4,54.3,115,17450
audi,177.3,66.3,53.1,110,15250
audi,192.7,71.4,55.7,110,17710
audi,192.7,71.4,55.7,110,18920
audi,192.7,71.4,55.9,140,23875
bmw,176.8,64.8,54.3,101,16430
bmw,176.8,64.8,54.3,101,16925
bmw,176.8,64.8,54.3,121,20970
bmw,176.8,64.8,54.3,121,21105
bmw,189,66.9,55.7,121,24565
bmw,189,66.9,55.7,182,30760
bmw,193.8,67.9,53.7,182,41315
bmw,197,70.9,56.3,182,36880
honda,144.6,63.9,50.8,58,6479
honda,144.6,63.9,50.8,76,6855
honda,150,64,52.6,60,5399
honda,150,64,52.6,76,6529
honda,150,64,52.6,76,7129
honda,163.4,64,54.5,76,7295
honda,157.1,63.9,58.3,76,7295
honda,167.5,65.2,53.3,86,7895
honda,167.5,65.2,53.3,86,9095
honda,175.4,65.2,54.1,86,8845
honda,175.4,62.5,54.1,86,10295
mazda,159.1,64.2,54.1,68,5195
mazda,159.1,64.2,54.1,68,6095
mazda,159.1,64.2,54.1,68,6795
mazda,166.8,64.2,54.1,68,6695
mazda,166.8,64.2,54.1,68,7395
mazda,169,65.7,49.6,101,10945
mazda,169,65.7,49.6,101,11845
mazda,169,65.7,49.6,101,13645
mazda,169,65.7,49.6,135,15645
mazda,177.8,66.5,53.7,84,8845
mazda,177.8,66.5,55.5,84,8495
benz,190.9,70.3,56.5,123,25552
benz,190.9,70.3,58.7,123,28248
benz,187.5,70.3,54.9,123,28176
benz,202.6,71.7,56.3,123,31600
benz,202.6,71.7,56.5,155,34184
benz,180.3,70.5,50.8,155,35056
benz,208.1,71.7,56.7,184,40960
benz,199.2,72,55.4,184,45400
nissan,165.3,63.8,54.5,69,5499
nissan,165.3,63.8,54.5,55,7099
nissan,165.3,63.8,54.5,69,6649
nissan,165.3,63.8,54.5,69,6849
nissan,170.2,63.8,53.5,69,7349
nissan,165.3,63.8,54.5,69,7299
nissan,165.6,63.8,53.3,69,7799
nissan,165.3,63.8,54.5,69,7499
nissan,170.2,63.8,53.5,69,7999
nissan,162.4,63.8,53.3,69,8249
nissan,173.4,65.2,54.7,97,8949
peugeot,186.7,68.4,56.7,97,11900
peugeot,186.7,68.4,56.7,95,13200
peugeot,198.9,68.4,58.7,97,12440
peugeot,198.9,68.4,58.7,95,13860
peugeot,186.7,68.4,56.7,95,15580
peugeot,186.7,68.4,56.7,95,16900
peugeot,198.9,68.4,56.7,95,16695
peugeot,198.9,68.4,58.7,95,17075
peugeot,186.7,68.4,56.7,97,16630
peugeot,186.7,68.4,56.7,95,17950
peugeot,186.7,68.3,56,142,18150
toyota,158.7,63.6,54.5,62,5348
toyota,158.7,63.6,54.5,62,6338
toyota,158.7,63.6,54.5,62,6488
toyota,169.7,63.6,59.1,62,6918
toyota,169.7,63.6,59.1,62,7898
toyota,169.7,63.6,59.1,62,8778
toyota,166.3,64.4,53,70,6938
toyota,166.3,64.4,52.8,70,7198
toyota,166.3,64.4,53,56,7898
toyota,166.3,64.4,52.8,56,7788
toyota,166.3,64.4,53,70,7738
toyota,166.3,64.4,52.8,70,8358
volkswagen,171.7,65.5,55.7,52,7775
volkswagen,171.7,65.5,55.7,85,7975
volkswagen,171.7,65.5,55.7,52,7995
volkswagen,171.7,65.5,55.7,85,8195
volkswagen,171.7,65.5,55.7,85,8495
volkswagen,171.7,65.5,55.7,68,9495
volkswagen,171.7,65.5,55.7,100,9995
volkswagen,159.3,64.2,55.6,90,11595
volkswagen,165.7,64,51.4,90,9980
volkswagen,180.2,66.9,55.1,110,13295
volkswagen,180.2,66.9,55.1,68,13845
volvo,188.8,67.2,56.2,114,12940
volvo,188.8,67.2,57.5,114,13415
volvo,188.8,67.2,56.2,114,15985
volvo,188.8,67.2,57.5,114,16515
volvo,188.8,67.2,56.2,162,18420
volvo,188.8,67.2,57.5,162,18950
volvo,188.8,68.9,55.5,114,16845
volvo,188.8,68.8,55.5,160,19045
volvo,188.8,68.9,55.5,134,21485
volvo,188.8,68.9,55.5,106,22470
volvo,188.8,68.9,55.5,114,22625
